channel_name,channel_id,category
Cocomelon Official,UCA751540AD18B10CF8521AA,Kids
Cocomelon TV,UC558D2DE45FE8CF184F93F2,Kids
Cocomelon Channel,UC21658AA5C6AC36D07A8E29,Kids
Cocomelon HD,UC8686457055BDE9A2E4E6F5,Kids
Cocomelon 4K,UC9222A9735F82AE7A360D1D,Kids
Cocomelon Videos,UC6F08E0B740820A2A2206D1,Kids
Cocomelon Songs,UC2B6CA7313D2F25346F263A,Kids
Cocomelon Music,UC53FED27417E4A053D3DB85,Kids
Cocomelon Nursery Rhymes,UC84946AA85082B9B6498139,Kids
Cocomelon Kids Songs,UCD1664F5B217F07D11C5335,Kids
Cocomelon Baby Songs,UC9E4F3D16ED7CCBBD379D68,Kids
Cocomelon Toddler Songs,UC2A7E13936A9796AB6AC278,Kids
Cocomelon Preschool,UC5C96E714E83A3320523E13,Kids
Cocomelon Kindergarten,UCD599D7F14773B1BFD620A4,Kids
Cocomelon Learning,UCC807BB6CFFBA1533BA08A9,Kids
Baby Shark Official,UC0C3E0DB89EC910DC56B28A,Kids
Baby Shark TV,UC45C16BDB886182CE28E05D,Kids
Baby Shark Channel,UC3A3037A0A005706DFDDC1D,Kids
Baby Shark HD,UCED28569E91F3E322922F90,Kids
Baby Shark 4K,UC3CF824D012E5E583AC03DB,Kids
Baby Shark Videos,UCC2A53D6ACE6BAE262E9E7D,Kids
Baby Shark Songs,UCAE4419328884605580A3D6,Kids
Baby Shark Music,UC3BFDC96592A3A5BAC3A62D,Kids
Baby Shark Nursery Rhymes,UCFC1D9083ED17248225DBE5,Kids
Baby Shark Kids Songs,UC892F18E364CA897373E709,Kids
Baby Shark Baby Songs,UCFF84717DD40FBDC799AF44,Kids
Baby Shark Toddler Songs,UC4641F2CD85A12110DBB2B6,Kids
Baby Shark Preschool,UC555531F7C360603A707A45,Kids
Baby Shark Kindergarten,UC9A260B3F6D22BAA3EEF7EC,Kids
Baby Shark Learning,UC93CA7A1E1D09A886077BD5,Kids
Peppa Pig Official,UCD58366C604BD8D46C478CE,Kids
Peppa Pig TV,UCD9C6C6E18D1217F8D1E8DB,Kids
Peppa Pig Channel,UC653808BC695123DFBC41C5,Kids
Peppa Pig HD,UC2D46CE29B3436972F184E7,Kids
Peppa Pig 4K,UC1ACE2D341EAFCAE5758BD7,Kids
Peppa Pig Videos,UCEB7A66D827D56DEE794B8B,Kids
Peppa Pig Songs,UC89D9119DF358C569AABDBD,Kids
Peppa Pig Music,UC39FA9FB03F70577C4CB483,Kids
Peppa Pig Nursery Rhymes,UC226E7C3411D29912FB01A2,Kids
Peppa Pig Kids Songs,UCAC3E34EC7B9EB5AFFECCD0,Kids
Peppa Pig Baby Songs,UCA2F689E84CE0CE0A2661CB,Kids
Peppa Pig Toddler Songs,UC25B1CCD7AAAD5CED1618B0,Kids
Peppa Pig Preschool,UCE181D4763149A617EA3F1B,Kids
Peppa Pig Kindergarten,UCBBDAE864FA7B457DF8FA4D,Kids
Peppa Pig Learning,UCF736DACAA2629745D9181A,Kids
Paw Patrol Official,UC5C57D3A9DB0F33162A2822,Kids
Paw Patrol TV,UCC624E42569013668795153,Kids
Paw Patrol Channel,UC7E7978E179F8FC2B5E5E04,Kids
Paw Patrol HD,UC04D3133212489AC0826005,Kids
Paw Patrol 4K,UC77AD57D6036236416A67E2,Kids
Paw Patrol Videos,UC623FB777FBC6A9068646C4,Kids
Paw Patrol Songs,UCDC114CE8DF58005582CDCD,Kids
Paw Patrol Music,UCA9A9850727D5342E5AE41D,Kids
Paw Patrol Nursery Rhymes,UCAC6856E0B598B1D3871EE8,Kids
Paw Patrol Kids Songs,UC88C27713A836726E5459DA,Kids
Paw Patrol Baby Songs,UC0433FB6976E1484C5C0112,Kids
Paw Patrol Toddler Songs,UCD5EA07ECFD2DFD2FE92547,Kids
Paw Patrol Preschool,UC58CCC34ABDFFC602892F9D,Kids
Paw Patrol Kindergarten,UC0CAA6243D7C6847B4C9D2F,Kids
Paw Patrol Learning,UC0E7A62A1D3C706F0A3DC4E,Kids
Blippi Official,UCF4E7CB8EEAFC3F776086AE,Kids
Blippi TV,UCFB8AA5CE18D4486DB5FBED,Kids
Blippi Channel,UC023AB579348B14D7C78237,Kids
Blippi HD,UCAE94212FD9B56C3FF1A0B4,Kids
Blippi 4K,UCA7FF0924102D8F6A44898D,Kids
Blippi Videos,UCB4C76B49127DA58911FB06,Kids
Blippi Songs,UC758A0D039A19134A0BA73E,Kids
Blippi Music,UC934B8294DBEACC507AB779,Kids
Blippi Nursery Rhymes,UCF555AABC0BE378D967C5CF,Kids
Blippi Kids Songs,UCF179D77ADCBD8B5B82449E,Kids
Blippi Baby Songs,UC503AE48E78419E56F4414A,Kids
Blippi Toddler Songs,UC8ADACCDE5582C756444737,Kids
Blippi Preschool,UC376255F8CF88F6FF6801D6,Kids
Blippi Kindergarten,UCA11FFEE220A3E16B258D22,Kids
Blippi Learning,UC79DDD985215FCEA6DEA39D,Kids
Little Baby Bum Official,UCB9DC4EE0519C5F92911FC4,Kids
Little Baby Bum TV,UC4AB0506F0D62E9F61CA841,Kids
Little Baby Bum Channel,UC6374ED6F041B02C46D977B,Kids
Little Baby Bum HD,UCA0D0D758B4857C6395BDC8,Kids
Little Baby Bum 4K,UC41BBFF487DEF1665F9809F,Kids
Little Baby Bum Videos,UCF9BCC8591EA84674970CFE,Kids
Little Baby Bum Songs,UCF56717FA56815D4D366148,Kids
Little Baby Bum Music,UCAD130FC62CB3810F652F58,Kids
Little Baby Bum Nursery Rhymes,UC6A3A17DA122E38B648DBF7,Kids
Little Baby Bum Kids Songs,UC62134CDE57852B1911E0A4,Kids
Little Baby Bum Baby Songs,UCAD98B1163CB04457788759,Kids
Little Baby Bum Toddler Songs,UC3A9D281D9B48FF92970387,Kids
Little Baby Bum Preschool,UCCC3F880FC5FF374B853F96,Kids
Little Baby Bum Kindergarten,UCC8A7D8F2A78213CF54D0F5,Kids
Little Baby Bum Learning,UC8C03D667DF4460DE8C205F,Kids
Mother Goose Club Official,UC6E45A07EDE32C660BB8601,Kids
Mother Goose Club TV,UCB24AD276F5872ED86AFECF,Kids
Mother Goose Club Channel,UCDE49AC7BCE78829EEF9C79,Kids
Mother Goose Club HD,UC4B163964AE5CC9C8A7C732,Kids
Mother Goose Club 4K,UCB5D30C67BF469B43C197E5,Kids
Mother Goose Club Videos,UCF70BB65BC65FF0EC838299,Kids
Mother Goose Club Songs,UC9D6826BF93052780B7DE0B,Kids
Mother Goose Club Music,UC8DB7A357EA5037656B4C9B,Kids
Mother Goose Club Nursery Rhymes,UC8C634B0BFF26DD2CA48C67,Kids
Mother Goose Club Kids Songs,UC5B48948CB86BB3F240B6C5,Kids
Mother Goose Club Baby Songs,UC5E11D7F67F78FB2E29F798,Kids
Mother Goose Club Toddler Songs,UC47EFD03B6CBEDBF2EA7899,Kids
Mother Goose Club Preschool,UC8F41844D7AA2E516987B05,Kids
Mother Goose Club Kindergarten,UC5641D10D5A3C4968719749,Kids
Mother Goose Club Learning,UCEBEC2287327837476A9BA4,Kids
Super Simple Songs Official,UCD3DF9A3E3CF2C434E16DA2,Kids
Super Simple Songs TV,UC61B4740E98956140EF0B54,Kids
Super Simple Songs Channel,UC5CA97E8B2790DD16AF433C,Kids
Super Simple Songs HD,UCB36728EB645CAC29B412A6,Kids
Super Simple Songs 4K,UC9B67D25FCCFED807BC900F,Kids
Super Simple Songs Videos,UC6A98CF61D0540074212BA0,Kids
Super Simple Songs Songs,UC8AE01C01DA909DD3234299,Kids
Super Simple Songs Music,UC542E5D2304822A643A9BF2,Kids
Super Simple Songs Nursery Rhymes,UC005AB56E9E308B943085E1,Kids
Super Simple Songs Kids Songs,UC1AC755E6AD8ACD1980C96A,Kids
Super Simple Songs Baby Songs,UCB2693B648D8EC8453CE4D4,Kids
Super Simple Songs Toddler Songs,UC679ABC2FDAA0FDDBF58A71,Kids
Super Simple Songs Preschool,UC8DAF1EEA0B210A605BD327,Kids
Super Simple Songs Kindergarten,UC74A0E8F4FB6E557DBB6E1C,Kids
Super Simple Songs Learning,UC23438815448DBD49D6ED3C,Kids
Dave and Ava Official,UC2EA7D2C5B93655D46E9197,Kids
Dave and Ava TV,UCD731ABFB494999E27BE9B7,Kids
Dave and Ava Channel,UCA02152385919EB5DCA3587,Kids
Dave and Ava HD,UCAD5F09723EA679C5CAE0CC,Kids
Dave and Ava 4K,UCCE21F877EC10D61B6F81A8,Kids
Dave and Ava Videos,UCDD1319BBE0DD2D9D40C6C8,Kids
Dave and Ava Songs,UC2C14779881CC0D4C64DC3D,Kids
Dave and Ava Music,UC541ACF8F356857A8A67ED0,Kids
Dave and Ava Nursery Rhymes,UC46305361AB8E3170F06CB5,Kids
Dave and Ava Kids Songs,UC58DF52ABD4267C9A983DB0,Kids
Dave and Ava Baby Songs,UC0E56E53A933EC6C65C637D,Kids
Dave and Ava Toddler Songs,UC30D69318AE239F3863E29B,Kids
Dave and Ava Preschool,UC8EF2ED1A0ADD3C8B7217E6,Kids
Dave and Ava Kindergarten,UC240AAF55151C69B2CD0D96,Kids
Dave and Ava Learning,UCC958207ED9CD2E147E8819,Kids
Pinkfong Official,UC123B789D63C9DEAF1335ED,Kids
Pinkfong TV,UCFECF0316D93129517C9199,Kids
Pinkfong Channel,UC3F1B61CCA6AF23695FA91E,Kids
Pinkfong HD,UC7EF6C8F4AAD1886C8CADDA,Kids
Pinkfong 4K,UC2E6FB5FB504F28D9D804C4,Kids
Pinkfong Videos,UC0765463984C913DACC81FA,Kids
Pinkfong Songs,UCF076C267EFA4A03419A894,Kids
Pinkfong Music,UC399BDA2977141DB237FFF6,Kids
Pinkfong Nursery Rhymes,UC97A1AD6688797AE6885A11,Kids
Pinkfong Kids Songs,UCAFE80A6D588EECF6D586BE,Kids
Pinkfong Baby Songs,UC6620251A9B15973C255506,Kids
Pinkfong Toddler Songs,UC46C4FB7E7A8E602626268E,Kids
Pinkfong Preschool,UCA9767407CE8290C6A885FF,Kids
Pinkfong Kindergarten,UC9BB1DDE0C6DC3EAE9E7B0E,Kids
Pinkfong Learning,UC3C585A716B7314C9AC6EF9,Kids
LooLoo Kids Official,UCCCDEC2ECD529CC6F6F299B,Kids
LooLoo Kids TV,UCFDA5446343467396593124,Kids
LooLoo Kids Channel,UCEBB0CDBDB1D7F1B8BEF5CA,Kids
LooLoo Kids HD,UC4ADC5130192CC413D6C822,Kids
LooLoo Kids 4K,UC47700663A8041D0D733BF8,Kids
LooLoo Kids Videos,UCA3BCD37D3DB25096CF8F72,Kids
LooLoo Kids Songs,UC5892DBFB7255CE7778B41A,Kids
LooLoo Kids Music,UC5B464790ECA3673EC1C730,Kids
LooLoo Kids Nursery Rhymes,UCE5A1C49FAB36E671523825,Kids
LooLoo Kids Kids Songs,UC0626E03C57BB899E3EA138,Kids
LooLoo Kids Baby Songs,UC36F734FB4C1702D2F134C6,Kids
LooLoo Kids Toddler Songs,UCCC32C61893FDB9EDA5BEDD,Kids
LooLoo Kids Preschool,UCA7BB8A125D37B8397B9E30,Kids
LooLoo Kids Kindergarten,UCFB4AF32F54E544356E7B9D,Kids
LooLoo Kids Learning,UC4473A44E59482E4E64A456,Kids
GiggleBellies Official,UC824DB71F13C058A187EE7B,Kids
GiggleBellies TV,UC1B5E8657056C60FD1C70C6,Kids
GiggleBellies Channel,UCA89AEB5994AA8E7B5C5D6C,Kids
GiggleBellies HD,UC32AB4F64F690EF92390E9A,Kids
GiggleBellies 4K,UC44506626F0B69757F36561,Kids
GiggleBellies Videos,UCB85CF7ED25E0E9400F99A3,Kids
GiggleBellies Songs,UCF8E8707C46A5DBFFCC21B4,Kids
GiggleBellies Music,UC7D8A820519D771582BB6D2,Kids
GiggleBellies Nursery Rhymes,UC35F4FDF3D88FE1DD648D53,Kids
GiggleBellies Kids Songs,UC6C845367F7215530FE0AEA,Kids
GiggleBellies Baby Songs,UCE63906E7F05ECEAF3F5981,Kids
GiggleBellies Toddler Songs,UC9F61767B516D821B9E286B,Kids
GiggleBellies Preschool,UC4D6527662B7A14C0B49D58,Kids
GiggleBellies Kindergarten,UC817136284D100B3DBBDDD0,Kids
GiggleBellies Learning,UCA8AA388CF65EDD808BF715,Kids
HooplaKidz Official,UC5DF2CC102BDBD8DAE84DC1,Kids
HooplaKidz TV,UC02B8627FE95DCB5C46C577,Kids
HooplaKidz Channel,UC252D368C346F939AE83735,Kids
HooplaKidz HD,UC5CDADF3186B1D419DBE354,Kids
HooplaKidz 4K,UC26910B6A582471957FFE2C,Kids
HooplaKidz Videos,UC045C107F8A98BE24B1BCA0,Kids
HooplaKidz Songs,UC523EDFDAAC4A712ACB1158,Kids
HooplaKidz Music,UC0D1E9C235ABF76EB4A93CA,Kids
HooplaKidz Nursery Rhymes,UC4FD382BB9B5A140D05FAF7,Kids
HooplaKidz Kids Songs,UC7C27F78862A7B8B91E7B2A,Kids
HooplaKidz Baby Songs,UCB238128C7ADBA764264B13,Kids
HooplaKidz Toddler Songs,UC29AEA3DF480A0883D070FE,Kids
HooplaKidz Preschool,UCC701E0E1B3BE380A57FB25,Kids
HooplaKidz Kindergarten,UC39F375EE70EDC28D34A98C,Kids
HooplaKidz Learning,UC7C84BBC5398E2B698BC5C9,Kids
BabyTV Official,UC0FE1E36EA36701FC90B297,Kids
BabyTV TV,UCC1B375C5BC60F402F1FF6F,Kids
BabyTV Channel,UC6D333DFBBC161DE08F688F,Kids
BabyTV HD,UC1DCD90488B5D8F1FF37FC9,Kids
BabyTV 4K,UC45A36758F76A231CDC5688,Kids
BabyTV Videos,UC07CD44D38C29F1EEB861EC,Kids
BabyTV Songs,UC99E56F410B444AD30446B2,Kids
BabyTV Music,UC66969668827C56F5783A5B,Kids
BabyTV Nursery Rhymes,UC9BED34381F4374A88C2BF8,Kids
BabyTV Kids Songs,UC01205B644B08C81456D2B5,Kids
BabyTV Baby Songs,UC34A184AFD66200275F74F1,Kids
BabyTV Toddler Songs,UC6E6B47D78F1F0DA5111B07,Kids
BabyTV Preschool,UC7E4FF9262D49621FCB7EED,Kids
BabyTV Kindergarten,UCE1E176B057EC1F74F55AC9,Kids
BabyTV Learning,UC277EC056352B3F14FF1264,Kids
The Wiggles Official,UC26DC321E514BA00CD7ECE9,Kids
The Wiggles TV,UCCFBC7751D1F3D83BB4FF4B,Kids
The Wiggles Channel,UC7422F153217A557C897EB1,Kids
The Wiggles HD,UC886B5BF8B6976849B2200F,Kids
The Wiggles 4K,UC093EC0291AC846A04DAC68,Kids
The Wiggles Videos,UC6D9AC7E4D9BEA66B9D9B97,Kids
The Wiggles Songs,UC0C685471C6242D97A5EF94,Kids
The Wiggles Music,UC6A7C88C1BB2F01CEDA4B78,Kids
The Wiggles Nursery Rhymes,UC0A1913E78E1939D501F71C,Kids
The Wiggles Kids Songs,UC4B80CA94326FA78665B778,Kids
The Wiggles Baby Songs,UC762F69D879D7BF8864F735,Kids
The Wiggles Toddler Songs,UC1D4516D8A9958D80F836F3,Kids
The Wiggles Preschool,UC82B217802076ABC4824A77,Kids
The Wiggles Kindergarten,UC631747DB863076AD2B2E7B,Kids
The Wiggles Learning,UC2C681C371282378DC5082C,Kids
Ryan ToysReview Official,UC8043E563BF389996ABCE23,Kids
Ryan ToysReview TV,UC08E9C94A076712DB648C71,Kids
Ryan ToysReview Channel,UCD7D020844061D4EA582301,Kids
Ryan ToysReview HD,UC4D7AA5C5C378EFE98FD388,Kids
Ryan ToysReview 4K,UCA1808F3BCBB1E130EC7115,Kids
Ryan ToysReview Videos,UC988B751585C3E10FB131F8,Kids
Ryan ToysReview Songs,UCF2A1F4A7FA66AA787DBDA2,Kids
Ryan ToysReview Music,UCEB29AB65DCBB9924F424B2,Kids
Ryan ToysReview Nursery Rhymes,UC2DEF39D8897D7FC9C170C0,Kids
Ryan ToysReview Kids Songs,UCEF2A01FCDDDC5681B525FF,Kids
Ryan ToysReview Baby Songs,UC2A392D464234AE0FA7E061,Kids
Ryan ToysReview Toddler Songs,UC55A5DF2A28A15AC352D374,Kids
Ryan ToysReview Preschool,UCF95EA53FE7D00D272BF951,Kids
Ryan ToysReview Kindergarten,UCE86DA6EC4D9938BBB4C22A,Kids
Ryan ToysReview Learning,UC20430B901C8E12404F23E8,Kids
Vlad and Niki Official,UC1CDEB3CA2F4E955718626A,Kids
Vlad and Niki TV,UC3F4C0701333F6876612037,Kids
Vlad and Niki Channel,UCBF7976AB2076C7D5F87B1E,Kids
Vlad and Niki HD,UCBEF004B225C65790D169F1,Kids
Vlad and Niki 4K,UCF8A761A29038C0668B7E05,Kids
Vlad and Niki Videos,UC77C35F8AE64EFDBB92858B,Kids
Vlad and Niki Songs,UCFED46416A55F44F536591D,Kids
Vlad and Niki Music,UC9B6371EBB30B3511DEE0FA,Kids
Vlad and Niki Nursery Rhymes,UC83648499BCE3E69E6A6D09,Kids
Vlad and Niki Kids Songs,UC3237FABBD6252AC5DC6956,Kids
